row_id,butterfly_taxon,host_taxon_name,host_taxon_rank,current_confidence,curated_confidence,curation_action,evidence_basis,source_checked,citation_for_ui,notes_for_web_app,source_refs_current,doi_or_url_current,occurrence_count_in_web_app,use_for_default_download_current,host_plant_family,host_plant_genus,host_plant_species
74,Dircenna olyras,Solanum chrysotrichum,species,medium,high,reaudit_upgrade,"Captive/rearing evidence is credible host-use evidence, but should be distinguished from wild local host use.","Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,"Captive/rearing evidence is credible host-use evidence, but should be distinguished from wild local host use.","Costa Rica: [Haber, p.c., 1998 (ssp. relata)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,874,true,Solanaceae,Solanum,Solanum chrysotrichum
75,Dircenna olyras,Solanum cordovense,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked. | Codex source-PDF re-audit 2026-05-21: authoritative_checked_compilation,Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Costa Rica: [Drummond & Brown, 1987 (ssp. relata); Haber, p.c., 1998 (ssp. relata)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,279,true,Solanaceae,Solanum,Solanum cordovense
76,Dircenna olyras,Solanum hispidum,species,medium,medium,reaudit_upgrade,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Costa Rica: [Young, 1973e (ssp. relata); Drummond & Brown, 1987 (ssp. relata)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,311,true,Solanaceae,Solanum,Solanum hispidum
77,Dircenna olyras,Solanum laurifolium,species,medium,medium,reaudit_upgrade,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"N/A: [Young, 1973e (Captive) (ssp. relata)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Solanum,Solanum laurifolium
78,Dircenna olyras,Solanum nr rugosum,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Costa Rica: [Drummond & Brown, 1987 (ssp. relata)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Solanum,Solanum nr rugosum
79,Dircenna olyras,Solanum rudepannum,species,medium,medium,keep,"Plausible Beccaloni catalogue record with embedded citation, but primary record not independently checked in this audit.",Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked.,Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Costa Rica: [Haber, p.c., 1998 (ssp. relata)]; N/A: [Young, 1973e (Captive) (ssp. relata)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,1012,true,Solanaceae,Solanum,Solanum rudepannum
80,Dircenna olyras,Solanum torvum,species,medium,medium,keep,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 3 times in current CSV; UI should merge citations or deduplicate display.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 3 times in current CSV; UI should merge citations or deduplicate display.,"Costa Rica: [DeVries, 1987 (ssp. relata)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,4147,true,Solanaceae,Solanum,Solanum torvum
81,Dircenna olyras,Solanum umbellatum,species,medium,medium,reaudit_upgrade,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 3 times in current CSV; UI should merge citations or deduplicate display.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 3 times in current CSV; UI should merge citations or deduplicate display.,"Costa Rica: [Drummond & Brown, 1987 (ssp. relata); DeVries, 1987 (ssp. relata); Haber, p.c., 1998 (ssp. relata)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,1368,true,Solanaceae,Solanum,Solanum umbellatum
82,Dryas iulia,Passifloraceae,family,medium,medium,downgrade,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 3 times in current CSV; UI should merge citations or deduplicate display.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 3 times in current CSV; UI should merge citations or deduplicate display.,"Brazil: [Lima, 1928]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,false,Passifloraceae,,
83,Dryas iulia,Passifloraceae,family,medium,low,downgrade,Family-level host association is too broad for a precise confidence label or GBIF occurrence overlay.,Beccaloni et al. 2008 catalogue row; family-level fallback.,Beccaloni et al. 2008,"Use only as fallback text, not as a host taxon overlay or species-level ecological record.  Exact butterfly-host-rank key appears 5 times in current CSV; UI should merge citations or deduplicate display.","Brazil: [Brown & Mielke, 1972 (ssp. iulia); SP, Freitas & Ramos, p.c., 1997]; Colombia: [Constantino, 1998]; Costa Rica: [Young, 1978c]; El Salvador: [Muyshondt, p.c., 1999]; N/A: [Perico & Araújo, 1991 (Captive); Benson et al., 1976]; Venezuela: [Orellana, p.c., 1998; Brown & Fernández, 1985 (ssp. alcionea)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,false,Passifloraceae,,
84,Dryas iulia,Passifloraceae,family,medium,medium,downgrade,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Brazil: [south-western,Benson et al., 1976]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,false,Passifloraceae,Passiflora,
85,Dryas iulia,Passifloraceae,family,medium,medium,downgrade,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Brazil: [Silva et al., 1968; RS, Brown & Mielke, 1972 (ssp. iulia); Pe, Arruda & Arruda, 1971; RS, Biezanko, 1949 (ssp. iulia)]; Uruguay: [Biezanko et al., 1974b (ssp. iulia)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,false,Passifloraceae,,
86,Dryas iulia,Passifloraceae,family,medium,high,downgrade,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Brazil: [south-eastern, Benson et al., 1976 ] 1167. Eueides spp.",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,false,Passifloraceae,Passiflora,
87,Dryas iulia,Passiflora,genus,medium,medium,keep,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Argentina: [Hayward, 1931c; Hayward, 1943]; Barbados: Enrico & Pinchon, 1969]; Brazil: [Remillet, 1988; Hoffmann, 1935a]; Cuba: [Bruner et al., 1975 (ssp. delila)]; El Salvador: [Steinhauser, p.c., 1997]; Grenada: [Enrico & Pinchon, 1969]; Martinique: [Enrico & Pinchon, 1969; Mexico: [Jal, Comstock & Vázquez, 1961 (ssp. moderata)]; Neotropics?: [Beutelspacher, 1980 (ssp. moderata)]; Neotropics: [Müller, 1878; Müller, 1886 (ssp. delila)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Passifloraceae,Passiflora,
88,Dryas iulia,Passiflora,genus,medium,medium,keep,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Argentina: [Hayward, 1969; Hayward, 1960]; Cuba: [Hernández & Alayo, In prep. (ssp. nudeola)]; Neotropics: [Lamas, 1985]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Passifloraceae,Passiflora,
89,Dryas iulia,Passiflora,genus,medium,medium,keep,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Brazil: [Brown, 1992a (ssp. alcionea)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Passifloraceae,Passiflora,
90,Dryas iulia,Passiflora actinia,species,medium,low,downgrade,Catalogue row indicates captive-only and/or no-locality evidence; weak for natural host use.,Beccaloni et al. 2008 catalogue row; embedded source indicates captive evidence.,Beccaloni et al. 2008,Do not use as default host overlay unless corroborated by wild oviposition/larval evidence.,"N/A: [Perico & Araújo, 1991 (Captive)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,245,true,Passifloraceae,Passiflora,Passiflora actinia
91,Dryas iulia,Passiflora adenopoda,species,medium,medium,keep,"Plausible Beccaloni catalogue record with embedded citation, but primary record not independently checked in this audit.",Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked.,Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Costa Rica: [Young, 1978c]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,662,true,Passifloraceae,Passiflora,Passiflora adenopoda
92,Dryas iulia,Passiflora ambigua,species,medium,medium,keep,"Plausible Beccaloni catalogue record with embedded citation, but primary record not independently checked in this audit.",Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked.,Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Colombia: [Constantino, 1998]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,true,Passifloraceae,Passiflora,Passiflora ambigua
93,Dryas iulia,Passiflora ambigua,species,medium,high,taxon_level_reaudit,"Exact species-level host named by a trusted expert, in-press source, or cited researcher; accepted as high under the revised expert-evidence policy.",Beccaloni et al. 2008 catalogue row; embedded source not independently checked. | Codex taxon-level policy adjustment 2026-05-21: exact_species_named_by_trusted_expert_or_inpress_source,Beccaloni et al. 2008,Exact species-level expert/source record; still cite catalogue/source trail for formal use.,"Colombia: [Salazar, p.c., 1997]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,true,Passifloraceae,Passiflora,Passiflora ambigua
94,Dryas iulia,Passiflora auriculata,species,medium,medium,keep,"Plausible Beccaloni catalogue record with embedded citation, but primary record not independently checked in this audit.",Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked.,Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Brazil: [Benson et al., 1976]; Colombia: [Constantino, 1998]; Costa Rica: [Young, 1978c; Mallet, p.c., 1980 (Ovip.; RC: 70a); Gentry & Dyer, p.c., 2000]; N/A: [Alexander, 1961 (Captive) (ssp. iulia)]; Panama: [Penz, p.c., 1997]; Venezuela: [Brown & Fernández, 1985 (ssp. alcionea)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,1255,true,Passifloraceae,Passiflora,Passiflora auriculata
95,Dryas iulia,Passiflora auriculata,species,medium,high,taxon_level_reaudit,Trusted oviposition/egg record is direct host-use evidence.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Trusted oviposition/egg record is direct host-use evidence.,"Colombia: [Salazar, p.c., 1997]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,1255,true,Passifloraceae,Passiflora,Passiflora auriculata
96,Dryas iulia,Passiflora bicornis,species,medium,medium,keep,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Costa Rica: [Janzen & Hallwachs, 2000 (RC: 82-J-391)]; El Salvador: [Muyshondt, p.c., 1999]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,378,true,Passifloraceae,Passiflora,Passiflora bicornis
97,Dryas iulia,Passiflora biflora,species,medium,medium,keep,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Belize: [Meerman, In press (ssp. moderata)]; Central America: [Benson et al., 1976]; Mexico: [Ver, Ross, 1965 (ssp. delila)]; N/A: [Hall, p.c., 1986 (Captive)]; Panama: [Penz, p.c., 1997]; Venezuela: [Orellana, p.c., 1998; Brown & Fernández, 1985 (ssp. alcionea); Brown & Fernández, 1985 (ssp. moderata)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,1887,true,Passifloraceae,Passiflora,Passiflora biflora
98,Dryas iulia,Passiflora caerulea,species,medium,medium,keep,"Plausible Beccaloni catalogue record with embedded citation, but primary record not independently checked in this audit.",Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked.,Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Argentina: [Varga, 1997]; Brazil: [southern, Benson et al., 1976; Silva et al., 1968; RS, Biezanko, 1949 (ssp. iulia); RS, Silva, Tarragó & Neto, p.c., 2000; RS, Brown & Mielke, 1972 (ssp. iulia)]; N/A: [Perico & Araújo, 1991 (Captive)]; Uruguay: [Biezanko et al., 1974b (ssp. iulia); Biezanko et al., 1957]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,5308,true,Passifloraceae,Passiflora,Passiflora caerulea
99,Dryas iulia,Passiflora caerulea,species,medium,medium,downgrade,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"N/A: [Hall, p.c., 1986 (Captive)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,5308,true,Passifloraceae,Passiflora,Passiflora caerulea
100,Dryas iulia,Passiflora capsularis,species,low,low,keep,Beccaloni catalogue marks this as dubious; not suitable for confident UI display or default overlay.,Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked.,Beccaloni et al. 2008,Keep as exploratory only; requires primary-source verification.,"Colombia: [Benson et al., 1976]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,982,false,Passifloraceae,Passiflora,Passiflora capsularis
101,Dryas iulia,Passiflora cobanensis,species,medium,medium,taxon_level_reaudit,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Belize: [Meerman, In press (ssp. moderata)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,14,true,Passifloraceae,Passiflora,Passiflora cobanensis
102,Dryas iulia,Passiflora coriacea,species,medium,medium,reaudit_upgrade,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Belize: [Meerman, In press (ssp. moderata)]; Central America: [Benson et al., 1976]; Costa Rica: [Mallet, 1984]; El Salvador: [Muyshondt, p.c., 1999]; Mexico: [Ver, Ross, 1965 (Ovip.) (ssp. delila)]; Panama: [Penz, p.c., 1997]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,682,true,Passifloraceae,Passiflora,Passiflora coriacea
103,Dryas iulia,Passiflora costaricensis,species,medium,medium,keep,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Central America: [Benson et al., 1976]; Costa Rica: [Mallet, p.c., 1981 (RC: 161); Mallet, 1984]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,273,true,Passifloraceae,Passiflora,Passiflora costaricensis
104,Dryas iulia,Passiflora costata,species,medium,medium,keep,"Plausible Beccaloni catalogue record with embedded citation, but primary record not independently checked in this audit.",Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked.,Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Neotropics: [Benson et al., 1976]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,132,true,Passifloraceae,Passiflora,Passiflora costata
105,Dryas iulia,Passiflora cubensis,species,medium,medium,taxon_level_reaudit,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Cuba: [Barro, p.c., 2000 (ssp. nudeola)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,36,true,Passifloraceae,Passiflora,Passiflora cubensis
